,summonerName,accountId,summonerLevel,puuid
0,LokiFc,bk1m2_GS-2L9loYOKil6EbsEHnQOCY15LRVByLuQvjf46Cc,291,AvAT9pAFILqL0Eo0kWmFOXug4KyIBh4QprnfHU4Ao2e3BjJLqCJFVdmroRwpcHVvNRFCec_fdW_pPQ
1,lepanta,B6nuFHgma2xw3B4ZYsSQeb38pgQxgajWykeB8OEZHm0sSO8,131,z2NP0f9IPVNevXHBEiZ5wjOHHwmqifJM0St3OpTjgI8xongB5r5mawgbt7_jz9tytWaLcrxc_0gsdA
2,i still hate you,4FnPhlgfii3JW283EbPr2Zl4ZPYoVdk6Qfjc7LIPP8MrZEI,224,CZq0S_gurM-JdaLAI8mZxCHhvxWGSen9ipXUt6QCOkyNDzrUqyxm7MyHCtJoWIkvJsdZxai0lZoBrQ
3,shadyzïn,a3jbDn6LEGapOQp3ecrp3-PS2kUryxZ5NHXzQn40TsOT4tQ,233,wADRcuNbUSKIB1uAIodgtv23LnbyrZZhTY5-TXAuDZoyzfseqcp_MVKLiimYiw56shxYFe4P0UQHMw
4,lagartin safo,hsiTGDBRyGqJ57_rcYgKYy-lnj4HVJJrBnviuc41KuaqsTo,137,XnADRrwXtgMPlKMovnXyUvc31v_1H-0chebhzdZ7piXF31flnH9VcXFjHU9re9nt2RNB3i5dOtAdqg
5,ll1 blessed,KT4JkHYyvEri4rh4b5kirfeTPd15akj0iTlG9sIDjaMdYZo,176,rvSwK7BvhoIxVY_RqHFNEL_9rfngHaFq2N17az_pItmpuTEe_hHoXWNizT01UUr2lx0RPe5J9fcdNA
6,Jao o isquilo,MGJd3GNPK9drCtEYEohm33FqDk_37flSD3MRWjsk_YV64x4,226,8WZWaAOKI5NTQxZ3gizgf5OC4oflMUt879AvSUw3yf5YrS6Y7arnT5ALopEF6Sw_VqPOOCDJ1yETMQ
7,Jägerwolf,gyvL26m7_hv2pSc-X0PixHzCoAvFxkYVrDl4mrWFyoy1358,288,vzY4h3hyrfXfxAwwXXV1Nf44RCbSRJqd1TmUNedWnuVAyT62n-cIqQ3WsCDXXXizeLvfNZG13LnYew
8, before i forget,gpcIgRgo__KkKvrer4y_jKNlGwv47tZyIuixE7qVKWXPZaw,213,zwInVGIe_65AT51mhW6cbI4k1WxB696zZ1_Et1WY1J6AeRTSYmO2KHFZEFEHH1n6QtV8lK05D1ibSw
9,NeymarD,R2rA09OGWpX1H_biVETxr-xBSQh1gHPKbLBvzSY-rwvVQYo,221,spwnUNn9XQRWqHX0nB0nB4IBfrRNo3PObz8_qI6VMhDKkpcxUBKglOVC2Oq_-oTdBu5QW4FJG4ZsWw
10,Bolsonara LGBT,2fDxntG8tl_C2s-Vy4GrYJIIkmGPlc9OLSEYe2xORSQgkwM,244,439MfyWB5-H3RrnvHoEw4LARCeIt3oZYd6AxxnH_IOQJmc2x23dCBawg_ZEOBsfD4xKoOlvXckvalQ
11,Pinson,atbC6xF6w4Mk7F2YwvK7-sN2qUgKrOk-91yo_CJ68LuAZLI,408,MP6bgOry0Lgzj6tmwMXbWLzTXyrdquKAbaRIyzOrwwGzOBz9drqf-GQwLJfa87bO0naQBqbHe70Hag
12,GustavosZERO,VcRe5FVU-r3-DsagiY9tTL74SLhiOQJCtl4ZJ5fMqJ6_DbI,176,ek6bus9nXSYyETYyRRl-Q8JcDB0UDE23bP7zT4qFcurswfUaSpYVmQQtfKnpsCdCxLCKRiUICX-A3A
13,Doido de Melão,nVTDaqcUKnECfLPSuL50m6B2_afuOLGGcB7t3J3ZK8wGEjs,352,A7pw5etYvO0MM06ezAabU46OVl0Q2-Ba7RQTVIB1UtHrbTysyEhmUY06HxoGOP3Zp7Mf_v8RqlGuwg
14,Pega â Lanterna,ucNvFFRQvK0NgXRUgqkjHhJoU7egz5Ct8Vl-IjxLeGFKHS4,201,nAM0l-EVgaefGdmC4Ue0v9uEDcvPrWxwhI0F072iqJVaA5K_yWqM6I5kWqOHovbU4XoLQZ1FhH6aqw
15,buff nami pls,YkpfPHj-kb_YneKY4AbSL4SCAl7l0CxANJZwelFHm2CgpL4,353,5l_IKhSMeNCLzVlQzQR0z3p9hs3N47lO1an1baSYBajgm0w9C51ENi7CRUTLGvzejtuF5smwsMX_gg
16,Müca,NjeuGhAZ9HqLwWX8TlwKZvXcovkDE3Gor5pWvdU6vM56trs,260,gSdqiWScO9ZCkyCErg1SoQ1sRA1ztpEfX4UNJtYJH38rqyoPfPQVOb6J2T1yQMCeJWNKUh744cbSUg
17,love ur smile,g3Upu7q-IByj_yHKeTjnDnBNi05Nan8IMvaSt-I6EQ1VLNE,351,_J0e8_awO6R3X9JefPYmNYmSYGjnaoCxW87qJVHYCNVtJcKjeXAYjdwS9jbH2bo8xuzZ5Xy8LY19HA
18,João Pedro,nBeen5BbZTEeIt0dDdDY6fiIa5zW5zZ3EnZsOHEkY_yxRE4,349,E8JOWKKyz1WVQMZOdktIVNjYcMl0z5ft2km8n8yE1Sj-SVBWvH1Dpc2iI6QK8K8QcJPRthbsonPWfg
19,Mag0La,AuGLAqmPogKlDNYXtaZW7frzqi8fotGamgLziWjWi89nDLQ,333,XBjmnTX4ZElEAhh1QuTHszm0lol342foMClDgLDFwL7_GCO_Jl-IDVLKZIQMVI2Nbios2eHmvYM_Jw
20,tupapi420,LgVYIIYJO8eixaBBenuOenDWz77xgTwuRNTF1zazKQWcFQ8,152,1fqfjOEYF4P_cYNOO6JLMoNsVu_1RkOFHA-hfjCfzaV3nuyr5EO0rd-XZf-WCHuhkNX4cy6484uUgQ
21,kayn tanu veloso,OV0nZHVw97yCNdxhqD478nG1z4b7NND5f0M00fiY69hoXDA,72,bx_y08DmmCrD6A6SeIQ4SsXCFVjddvaEbRVDHJ2tfThsRUNGkGmIS9gPAQwGmJ3OTTxNTfpoMoZM6g
22,Snoorky,6VtT0YkcfOM1LArllrL9xEt-Xx4I_vI3I2P2tl0okc-duhk,395,lO-FtIoAyQrKWlax73WOXGCBdfVdYHYR4zzKzLdMg1_mSNIOoHsvFpzqmMRr6VamGktUsPUw1XIHyg
23,criscris tfpn,-nnGgtYqeC217FGt8l1NLEa40jZ5DXeWCj5gHfEPOJXTyYU,233,BKOj7nF8Bqsi2VQ_mtgZIGrCb4aF9Lg4qPWtc9HTRQzG218ckbkrdFDQQqG0ZPCzFFmuA3GpcsXs-A
24,Nicolaci,PA91kFklL3Y4my3NpqFM1SCfdY8VPCx6TVMfRy4OsXVVRUg,513,9yeG5mjzNagk1wXiM2aa3d3xqY8av-ZQ9Rz3A27ojo_d5ux7clf-wsJonsvpe36TbNYWPidQtpz52g
25,huhi,QncNvwEifvptI6KWRHUMjqcrK6SBPWogj7QimT_6bDm8m0I,366,DZ7sPg3QhMTJWPD83ggTFEi6lD9uX2ZqC2fyBmVzcvPVeQePapzLZjbSCdw2xXnb3DIjiUxBNtMR3Q
26,Irmã do Kevao,jTier3wAmGTY-dyYFFAAZmi-Y8bRtec2rRjHomroVdi16J0,358,GqmnExcGhFhp0zeo9G5chdLrzxdAIjEMc2jtGdP5yFa0a-_enNKMnDOd1uHV3jhAZoLDviDXh_cNgw
27,gues ,5q8ImtaxE7OlNnZ0UZeCFzYWFbj3FJhsEbVEScatSN85Crg,158,ogWZqecNnwkxq-vm4J-nNevgSs-u6RLb1fL1lXErH1UHeoxy014IbjJZpuAGrBV4jnSc3aCGVCuMhA
28,sony apenas,K6Zi_atvfzJDJ97rtns13mlvg2RSRLGtsxOkaiipZMCITkA,259,dEvRNkR0urCUdDBUtvesYqGuKbeT2ta7YQTnyK14pPLWkKiMiU2zSFiOhFKifnGcjn0UlMSg-_3Plg
29,iEndlessly,xl9-xUsC68-kOdMRJk-IOA6DdQ-MFSLy_CX0jZ3FKcq14SI,122,MxbsfGqiJnXe9_V0R8njAssBxLVVvTI3jQ060EMubIU-e88_bjMTvtTbWFSJag5kC1l084qiKtLkhQ
30,Gants2,1ydAvNcybyZXvc_Z3NAENIxLmekk-0y-pCwG64dYFsGtVEs,192,C_1HZliqPgjE03aikBh_BI28j4uqopdQ-TLxBlqY1uK_mlqWzAyjUcyuvocDSerYekc8CWzkfO5wJw
31,rabeIo,Naew3AXPWwLDmTe2PiB67w_aB9q3evD2dCZ_58Z4CNGBDJM,82,KBv4jHz6ZUZGyIncHQTXS5enbpCYwF9PfR6rTckxWKpMNdcZpsPM5MK-CDM4TTnoqjsdz3JBk9danA
32,Kr0ft,kuampLhDsO8e0q1cVhyT3AtuH497xGyOcWNNmtMa5R1DkQs,440,45xVF_PcoN2s8CNBO4sCFFrhnVd2Q_281RkxVgEIfNVOJgwoF46YPdT-K4YzQVjoRAzlLUZh07wMAg
33,Renëkton,aI-AXCKu-z2OXbHPiEGvz4axYtgCQScZjVk5FCXcJPHW-YE,162,Wp-spuPuhpMqh-lsBYTsdp4_vj5u-XP4l_47zli9Rml0CsQTwpEXj_Z-V4Qo8IiSAmNKdbdgA6W9mg
34,só palhaços,HLCPpSyD3IQL4aHR9IEaZhqVU7OIl3G9D2cQMwIKOmsK96o,158,FoImH90MKxHB6G6fXqs7gW8ycomulFW8GN0Q6rRvPHaUzqFyT4FJAzf_0tgwEB7okBh9DNGulB2b3Q
35,Vini Master,kakFIiAN3eVbGRBX4BM-oFj3fiGBXvPAyjP64oXDeJDnHxc,287,xXbZYYC3rceMTrMnAi1ywv4PJoREzVz8u_BzPmMqUQDuQ3S2ZFtwJLGEuB_pgpOZIzpaWOK57lvr_g
36,Broken Shadow,CnY08qT887gI8YXoYcLQeKREWuh_Q-MzGFNEygAtBDvFhWk,220,vgLjbnT2hisvGmtwrxzveVsgxUo2b_zSo816q68d7rIPQv0OZh0RCRT6iI3kzNVslTRPVFV6uuxXRw
37,Hnz1,W1s7p1dy2ZhbDBIeKBkXHYqouOQMM7Pfs7sQCYkJ_I362mo,143,1y4bIDP0kparcKqgTFxzbHSz3P25oxFD2GCdD1nI3MqTKldRyQye37uD0wGdUD5nPWiotNnsgyTumQ
38,Buio13,2YS4WF0_KjvyQO4962EiZ0dSaY7JXt2jm_fDoNiIv8vekPo,241,kwrZn5-WCAL2lEQPHiD8mKhleygQpmIBrVexWuIb7Tx34-QHPWkK_DTv9SpO7sYafvlBKvfchLMfVw
39,FreashFx,gv8tURYwM0lo45aW3yNX9mfT5IZUYHYadhyfJZvhoLcYGhM,299,D_Et7KLohZuZ42OkDa5kbAXjfN8g9RoqhLN_piA9ljhVvlgGdoeO9ONvVYrDxzBY7bJMLHVVX6NuwQ
40,Spark2X,EjHpp44qCoykxnBBm0NSmTpLdFIgXjcl8VCNkz-F8Uwby34,324,EOsd3ncyTvedO0Z4_Fr7nmaQX0EtIOL0osgRtDss2w04Xeju0rsp4GLGWerCv-MvlKAB2BhVSbWPHw
41,PhD em Gadologia,3lYQEpHQI97u1H1aaWKlS5StiHC1xgMYH4FRvez0-Z_zJ28,188,QHUIXK8zdd6_EdPqT81RpOK0-u0DIKwmqavNsYTJYvAyDVUZ-0u7SR4zut9HkWRFpdn3UNnB4zftZg
42,Jean Valjean,EDWWiIa-qItilyq22sRXV0wReaVw1Eb9yCiMzOB-Qdo,272,47uLG3wv4TTkgGz2y5W-jBjVNQYtTSmEj4sZreB7_-X-BK0XBzQl56Gdf7M-UHbMobii0_SS8aQmzQ
43,anjxs,elacjoLsAbsISDUxbeV0I4zRvKfiqeNv8GGPqomfkmM,208,ZVZvVxocgE7wdFI8YI97OoBi4bJj6uGgNwo1JmRePbkKau92qRIW1S_5Du2z0yOtaGmjWAN2Jya59w
44,Mitchu,bgWcGCVYIyiGSdah0JJJouG9URI8rgkoMwcfHqdq-pU,205,xN8p_SQvP-vKSrb2M03wvk4QlcsnEOWmVM2v43Z4vVN6uYQGTbg6fuehDQ4FdODRvcNPdH0rMW47Xw
45,Monster2,xYXxayxrwj7svPu-jsNFOJ513sKLKTo2VklcRgJX-bQ,449,WKaK7wT9XiLmA2Ghb_yqvOrUuM5CaXIlzrB1ulyszjJIQsm18o3m7ywIpUFUKMmPKzZRmd15QzwReg
46,Kenith,qYa9jXQEBsE4DrkPTIWqq8KDwPfANtidwH2V0d0IBp8,180,VGNv-PQLhPZqlWKsGpeNKyW-Dx1ohy4glBlVxS_YbIF_AjCT3RvsdrCwT_BLF7Q2rGyVcZhJ815GSA
47,Isses,zQKmw7I5JWx-8UqvCD14-iEV5C8530QZLj6EvkpW0uI,264,KmSf88lbdEOj3JZy8stVADMFiwLVSy2dWV7TOLWOoqcUpXS013GZsTO9HIi4LoGtMjZXl1gB8IxnVQ
48,JapaXxLokoxX,5PzvYlVslKsAAVMqMrHupHm-98PYmxwykD1tYE4ycHnS4Pk,109,vcX570dNRwXp_tqqqk543D7_tCZbF_FRLnvnGWmq1p5iQXKjyY1C81JhTR4VAKU40U0iE6ybvhhtFw
49,PeopleFace,kUXH4BWy44TuL2MtM5Xxb0cAwRkdEj6xpwAiSMOaWFU,175,QQ96JhQFr7syc4_Nh_RJ3pH1YaQijw28CIlfRapZp_xJ-8v_jWqhlP3p_Bw_HBCJXOxayro8bX7luQ
50,Raposínho,zktBjIYTRfvofv6nbhfaC1b6b-HXJllRJFs2ZGzrk3I,383,WGXfeGd8bwQd5emMyRM9KLIakgTwoetwe3WpJgCeMvFNDhMTXsafkJqQN4XvB9nhL1r0kkSLXhNiow
51,PP Is Here,JnZQosNOLm7GRixf3rfsuA9xg54JCsPrbGEwWK-7rIt7,324,LfjWBRkGmyTkvN1UcC9vz7LOW6ULAAYAL0K2TRJ0aqf9Ju-tABXvAQ1yTpgs0DU27V6Xauc-bA4Mog
52,Wirth,j4CycOSpZpQ8L2mcSKrBrl-ezlPtuR1isgjmNb8sM44uARU,237,C_vz-tDmykuQL3SycrAov0tbv0qxk-ZEl4fyKt-bxLJTli4-a12QSQ5DoRUeetEwYhc9aSftwcYtPw
53,Amped YTB,p6ObwYt38OdbUwDv2oruPjUH0UKVdxL-in4He-ydAS8,188,SFMAMJNClSWH52Fn9FafH0tIgjMpdLzUvUM0mPp0gchzPqa629Mg6GSji82Ni-nU34q3F_FZhQefBQ
54,Majolo,ueVxtMVQZbFLGZcSMztht2CaG43aoEscGMGAaR2iveqS,395,JihPdCxpnAKdj0IkhALKCLQbmJRNc6XyIMeVVOF6Lz_8vIUnQlnLM8xJ2WNLM4yj71_ellaRxHepLA
55,Revex,O81MTk_5wq55rNSTw3KGsWZ-Xwh2-IGKmCMLwlSUf2hN,120,bJPOvn0CTWKe9IOyKTQVDwl4vb6qY_0JsVYCcKF__OU4hhRCdNHP2pzqbmdtFqsQeSOTTtJV9c4NxA
56,HAAANNNKKKKKKKK1,MlmtFKA3tI4f3v0SZ3C4IDnjPyTM1ymFNASxePXv3iXl,181,psvjU4pEnHYnlw7PVG1Umc2NGEjRhBtVRB7A8Pf7JGM_OqkOLEve4zPjJ4CHOASAMgkJY7e5ysNigA
57,ballão,XRHZfoso_OZKF9eGdiF476jbNNml5gMB0SsMZnWOF_c3LGE,297,AXQqFtiqTXvnfRj5Q-pfDZdzM991sSoklNKla_PbWMSue2XZeiDRBggPKusn3tWploH5LMBvy_kDrg
58,Ferdan,ZmmviMDJB-IXzvpOTQCySAuzNCnCnC0z5kIfZn7oPYc,218,WJwSt_br0DhgEhTVolfVHVn0Q8s6OeoDJzCdwqtCu8ys9tYqiIDxZIIb_oXejUDXQZGjKtrfRlupDw
59,Rozzatti,tOTfD-CL1kse7tt8B2o9Wijugr2NKhCceYDx8JdPqG_amtU,247,ZwlgN7EYC0UTXaIbgSI4D1SKMsj6Bn8PQIzJ0BxIt66npjCW8NLw6Kn86mkOjjF5AJkO_DL_DNn_VA
60,hina ryu,bFGSniAO1EbkuE_15MSA_tVBd4Bjri26LB6Aclbs1847kBc,490,vVlS48DLUsVMULObCy6Kl_2G94X0DE2hWqC_bzHVhr1DQNhB6KzFTLeAo9ux_wi2Jt6Xh_dnTkiJTQ
61,Darknesmad,mIa-QDKylEPfN9jMk0LbduDQhVgAqmIAz1yu-Q0stsAyR84,120,uv_0WsTBHD56RI2k7Se0Kh7j8gFOO2s0jwZ7MlqRMazA5b3NsT-U0DV4I3N5fznXdZ8Oa6d-m07DCw
62,Zcisor,2_0_aQHCxac5lLj56udX8jEWO-DkkXnGIBZinpA2iJ87sZk,166,aT9ObTzuIRRPYO_cbmYXCg0y0Ie7HPWp55w_sSCr9xP6lOPE2owv2Wr_wrkaRcxlgx9BBa1EcyA-Xg
63,u ll be my girl,egHMqx_JEt_bPkKd5XS5xe5aSlywI75n4toBZSHsXxo,214,dL-fwAe92iLewWRslCp4FhkZ0x-PdPHHpbnGBHFubXCuOXFj8rUtnRDLpZ9D-ynSdhBwI4JwHpZ5zA
64,Guilherme Kath,I_yX2IGH8UmyUJyJmVEtXqM4SUXr9-i2Ap47fvNH6V8,399,a_9V9SD_AzNUHJ8tT5o40v_EoRIk_yj-TZX011aV5GPbRwOxZUNVpMrI7Rspv650gjOOIqbqT_RE-w
65,comebacks,tsx1oonhZRAB-k5CIsQm9F7f6AF3Il08xSmgemc4eOA,237,MwVbMbcz_D2bjpeOmAVb3RkufDVVSXrfwWHoJOtw0truro8-ixjFcMa3zqUi3vAFO2RZr-vZ9TFJfg
66,fox senpai,DWanLJtRb0LTORVprFnVqrvfsWbxkYVZhKY6hluxFAo,203,EaPzkFK3Q_a7xizayDgJS-p3QBSQgC5vBOWp4xI0LbHZBa9WHH0oT_LXym3PG3eCZOMP_TlcoWBBfQ
67,Thormetic,tViri9dijWOAfTEDvUtwbLKuUVjVZBuvH014eHac4bk,208,S6i_92AwDKeyEjUC0n8Kl7dbmgd-eX7DJJOmUcIRoW5LUOakXLcnm-5s-8HsDCNlZTp47sW88Cn_Yg
68,black svvan,iq1ux-Dfzfx0mJDEWcnijwBeEk_uC0d9jm4FTmnUChKE,301,SXB6f8TnFy1412irxJvixRxIzaAQD5TzbPcp8qfDWXXxxY9veNOCmRxV8K_Nc_C085G1THBo_UjhAA
69,Yidaruny,mRuk0vnz1FOb6TVOLCUwq-i06p-5JznMMQ_X6P3kqC2Y,457,XvEybZo9QjcwG_h9Qyxd5vTS8h3Xe2LUPSUBcYuaGebMq8wx_4HBqfA3Roo9p44iZFcHCSfPOtH6wA
70,Cabra Selvagem,35zEbh3YsmUqXrjhhluSQASSt_7md0bUpGsk0NE8o-6b,184,JRlbD_6LJPLhQVxpzgziHXaKmKl-p9KEwZ8Wh4rr39Df9FobOp4e2Xf7seJ05_qB9xBx5ayEXrXbzg
71,Sobolewski,O8rJicwxI8it-1vqgAV8pzS_B7vTkf5lwsqSn7HOaRpfO34,206,qUBRsD2fRCl4yH3nNBmIhFoe1dp2qihMC2qFzJ6010NqJ6I1kGk2UN7qu7qy5bgJzEfZRNRM68cZ8w
72,GGHB,qK_ZPzCutO0LC2c3ZggNuiO-KL6SbwXn9xjomOGXXas,215,Yjm1FoXeVSqnvfTarHO7tk7S65Y85Qy-HrXTvdvaLmR73P6j6DkfyxJMHKOuEpqnG5hPgsJO_gqJng
73,Skywaf,8e2Z5DPnTYNoHBjc5-RpuSBL0FZbth5mV1MPbKyayTRG,267,8WpPnnguD0Ub2ShD8LOAL_mrQ4UY0SGTUqyABtAMitOsfz-3FK9gUwdz3aipTY5V9AILKjsTtB2AUA
74,kimzin apenas,WiE9vi4DdymAX9RtpAkYYJXu6yI0GAgHueOBBFXaLfnJtEI,225,mpWQsp79Y49LCZsbF7iHEjIWzSodFcpdBULrOwPax261ds337jSjNN1cVyB3k1rG6g4pDP24QIDxnw
75,OTAJAVALLUBTIP,q5kznSJcv44J6SK-dqYBDHYeojVGbd4Uf2FAqX7VpA4_4E4,198,MGJKOoHwsuKhFOurhiVoFVVRA8Lf_Ndpqk4nHvM1KAHNnlenKtscGZcOHOBFIrc5vnS8Rx8QzKR3dw
76,Mano Zubumafu,f_psPp4fOzJPbmWNAh_K1O2OUFAUpEFcFLTSTRxFtg4ASRk,239,wd33NHfqmTbCNi7c1WCEhp9RWGGFhWywpJC9ykada-aGwNum1mPScyQFmHpa3pZZbJK4iEXeZ7XTcQ
77,Hit Kauling,3mKQt8mWING4tfz9gAHYzLVTdo-2HLE1oe2X_enbQLss,146,05BYHUh0rEmz7WP-ur56mCoFXLY1qE7Pf9zvAk0M6DHXRUQ9YlpMvrErTaVBuWoJQYnjVSppZK_Qqw
78,Niight Lovell,X59t5eCxy6IhTDQkRucB5qZKv_wNCvfnXakrIrzTMU9crh4,144,qtQvcu0ss37ewBXogxhqhPddD0d8poAJOTamtoALJCDE2_OHzeK-7WVrhiEjsnTf3YtJAwWo3yuTdw
79,Dunskel,mV_wvTWks__mdrIcToEoWYzLxXILZk7FXfpq_W_Hne3n,312,RytbbTVnXA32N7p1W22re-8U4Jf-UTT0DMhVfI28VLO2RKrK5Yj8xUe81rOJfMXYlkMcvwnJUpudBw
80,Leandro Menezes,xCfdHXwMP-3mGV4Kf1smIeRWrJu3YuL14X9wXX_Xwly3,162,Zjr3RzsgaxRzpy5FvbZ3O6e0xrOcbVeGa0B9CXgj8G3n6p7lUf_UAtRFR3CXN_kGdq7q0fjoYPheWQ
81,Ryek,Lh_8rJ04GptLR3kECY5dgZKsMcjcEmFpM7uLBqDh3aLU,239,tjLPZznhTDRfHj31E0RhmrcRfq66gvDNlC5uAGfFy7DoO9uGeZ3KuNPj1O-eJ5Eyt8pt3przKejk6w
82,Mandiocafé,odoLCokySfgLv90hyprqcRas27Hje7S9egdbyreYm1Wl,265,jksQTJfluC5sYtOY9Y1gNkK9yMt1m9Vn0sUHdy2iLaVWVTX2ryaADSGmt09dB3ZiXjHiuvKy7tGvZQ
83,Kuiaratame,KxhKtblhnRutqomOVuylZyhftSsnVrG2tPgu8QTZDO0t,223,igWzOXeLhTZ16WXjNhKBDnpnVTzTX0hQwIqEtR5mODTAf9xemXkwjC2fYDjbzA70WiHg0JY5qb6B0w
84,aujsygfbheaklo,CMdkD7kh_4-_Ene-omVF07gQ4EXX2YKLeHY_T5GEin95GXI,155,wA_l5GPlnJWJPkAmS-VqUtA9rujwdhjyW8iXpdURAaLz1xYfpIv6kSPGm7K87zJsHngduPABKIYYUg
85,Naekuz,sHXxemA9yatUBGl1725moFhPptHIPCVoPYAhHwSLue_l,258,G1oKqXJc0UZPNXkNlUar7ptNiDWcGXZzzifeTAduOwekr_rNUpJiNl9B2FrVlzt1NmtKJG_VQpiHvA
86,tika1,tmooaasShvNZ5crTC8ChZrRVDq3Ezomz6S6QQUWmhhE5,160,PLm37LCfbQIpDmqNzm1de63HGiol8jIX7k8RwZHhYYR_ifMa8hmxV9xfGTSnTTzGoCQDmSSQzRsosQ
87,erva autopilot,0Ep_UOtdQDPfJwkxFTe9f777Be0xJ0vEQaihTGg7v7NwuuU,259,5ho9Gar_dmbfiDCYizTUuWfM0pe74brLsrPyowz6fV5fa3RAcdNCjRRazvle1QhJTBU62ZDQNpx0JQ
88,mottta,ZLHJDMcfMR9DejhbcrZRG-I3mLGlqwn16GCzBJEUHQdz,270,HKxWeUzuD-bddoHZw32Qd86wZCL63a_owOcjjKgmN4PQjqspBAefQBoSrrlM9CPNirFBuVqO6ozoUg
89,GLX Siylph,V30XEh5Jn2BGOTSq1QKpneGOI0acKmUoqRHfdEwr6cb2,299,R0ummm5RrMuqHVEm6Bm7VA8SKkXGWzICDDZFI-iWSCSurrBPntJgBdTcnvRcAII-bq-KEwvoCB1J7Q
90,Lehman Brothers,Azok_1yKBQ1y7ssDljyFtmaS5Uw_gXUsg1SdRn2cEFzA,389,SG0dQDb8eDJQBjQ9RDdVuznPA6qc4aSyWGfy29DctE002x-qDFF7YuwMFCnKa41OXS9uiyRSadBigQ
91,doguin caramelo,SJOBqXzGO2qHnzsPc4rLuTI_FfFVelf8xo-0J_lyyUG8tbE,322,fBMwHZhuitWIN91FA43Ft_DbsLCb-qAZQQ0iity9fs3cdLodeRaSy1R7ztxmgiMGTjBMMglK67eZZA
92,Meta Slave,jeIxdsCDX7wDwjQy9Qx-tpa8ej5abuvvb81017oRzOU,234,iB98mO83MqpiDgpC1tNoMfjVauUUWmhmSkanzyuNuJJD_n6gmG1j8DnTbH6CFHO0UHhzG8P7jrY4Ig
93,Lord1,R6_mRRbAx9a0YwB9QoKu2K3PR6S6uuYQM-hSGqL2m31R,294,ZLxbrRDIV2RP_H6Y5hHUunS7ZD2Fhw9AyAlE7AQ1pslsHRGbPDUVdWsEym2vLUSPNtUjQwtddU96Ug
94,ToySoldier,-4CsoEQGSnBqdjMhMfq2owljBMR5G8DUv_bezQQOdMyz,243,h4q9juHiRAjI_5qp1W0Pb3qEZgmgjZ-mK9ffre6Ohx_DwGicRd6abP_ue0VDosyes3LmSebPdGGeYg
95,Stalle Tenuous,wvjA593IRsksw9tmp_3gg4Op70omFskfJREwr4r24zTG,370,oxJhBzIakS-Qmt2S5GVlXKa9zinH650YemxdTBxyyIDtb6CzZnufC1YjZB8xl5rMvvcYynpjDYWhpA
96,Spohn,cYUHgZ05I4r5qhVcWS9YJ8whREmnTHY48jGGCXoTqD77QXw,343,umBGoCSlc0jrDMBzOS4xo8and45h_mBdoBi5hDrXRrS0Xln-7naZDjzmpNmBQ_3_vP8n4vMos7tBMw
